Address,latitude,longitude
"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",28.616204,77.422256
"Golf Course Road, Gurgaon, Golf Course Road, Gurgaon, Delhi NCR",28.43618253,77.10430584
"panchwati appartments, Vikaspuri, New Delhi - West, Delhi NCR",28.64015875,77.0662659
"B-31/S-1, B- Block, Dilshad Garden, Shahdara, Delhi-110095, Dilshad Garden, New Delhi - East, Delhi NCR",28.68651581,77.29942322
"Sector 37D, Gurgaon, Delhi NCR",28.45251307,76.97627035
"Raj Nagar Extension, Ghaziabad, Delhi NCR",28.70183798,77.42320672
"S Block, Sector 49, Gurgaon, Delhi NCR",28.412109,77.049522
"Sector-82, Mapsko Casa Bella, Sector 82, Gurgaon, Delhi NCR",28.393665,76.962842
"sector 84, Sihi, Gurgaon, Delhi NCR",28.406752,76.96474017
"Sector 119, Noida -201301, Sector 119, Noida, Delhi NCR",28.58632879,77.40106202
"omicran near Parichowk supertech Czar, Omicron, Greater Noida, Delhi NCR",28.473679,77.506258
"Ajanra le Garden, sector 16, greater noida, dist. Gautam budh nagar. U.P., Greater Noida West, Greater Noida, Delhi NCR",28.606945,77.45557857
"Sector 27, Greater Noida, Noida, Uttar Pradesh, Sector 27, Greater Noida, Delhi NCR",28.470149,77.535673
"Sector 77, Gurgaon, Delhi NCR",28.3824895,76.9823169
"Eastend Aptts, Mayur Vihar 1, New Delhi - East, Delhi NCR",28.5884566,77.304787
"Sector 10 Dwarka, New Delhi - Dwarka, Delhi NCR",28.58584227,77.06062479
"Moti Nagar, New Delhi - West, Delhi NCR",28.66662979,77.15222168
"sector 12 gurgaon, Sector 12, Gurgaon, Delhi NCR",28.4974556,77.02713776
"Kumar Excellency plaza, Sector 11 Vasundhara, Ghaziabad, Delhi NCR",28.65584564,77.3682251
"Sector 90, Gurugram, Haryana 122505, Sector 90, Gurgaon, Delhi NCR",28.407361,76.93426176
"Sanjiv Malhotra D-2, 208/209, Ground Floor Sector-11, Rohin, New Delhi- 110085, Sector 11 Rohini, New Delhi - Rohini, Delhi NCR",28.7295315,77.106949
"Sector 143, Noida, Sector 143, Noida, Delhi NCR",28.500621,77.424203
"Paschim Vihar, New Delhi, Paschim Vihar, New Delhi - West, Delhi NCR",28.66287399,77.09776702
"415  81High street mall sector 81 not pull greater Faridabad, Sector 81, Faridabad, Delhi NCR",28.3924408,77.34424591
"Uttam Nagar West, New Delhi - West, Delhi NCR",28.618239,77.054361
"G Tower, Amrapali Sapphire Phase I, Sector 45, Noida, Delhi NCR",28.548787,77.346032
"Sector 69, Gurgaon, Sector 69, Gurgaon, Delhi NCR",28.397731,77.036526
"Sector 129, Noida, Delhi NCR",28.524543,77.364765
"Sector 143, Noida, Delhi NCR",28.500621,77.424203
"Sector 128 Noida, Sector 128, Noida, Delhi NCR",28.52798043,77.354191
"DLF Capital Greens Phase 1, Moti Nagar, New Delhi - West, Delhi NCR",28.666059,77.150134
"895., Mehrauli, New Delhi - South, Delhi NCR",28.5201861,77.179158
"Near Dashmesh Hospital, Jail Road, Shiv Nagar, New Delhi - West, Delhi NCR",28.6288025,77.0958556
"Sector 67, Gurgaon, Delhi NCR",28.38762,77.06237
"Vasundhara, Ghaziabad, Vasundhara, Ghaziabad, Delhi NCR",28.65493,77.350989
"firstfloor, Sushant Lok 1 Block C, Gurgaon, Delhi NCR",28.45451736,77.08187103
"Sec 30, Near N M C hospital, Noida, Ram Vihar, Noida, Delhi NCR",28.576661,77.339673
"Unitech Unihomes, Tower A1, Sector-117, Noida, Sector 117, Noida, Delhi NCR",28.57763481,77.39510345
